Ensembl Gene ID	Unigene ID
ENSG00000051825	Hs.577404
ENSG00000051825	Hs.507175
ENSG00000051825	Hs.666556
ENSG00000051825	Hs.740028
ENSG00000052749	Hs.434251
ENSG00000052841	Hs.191186
ENSG00000053328	Hs.722171
ENSG00000053372	
ENSG00000053438	
ENSG00000053501	
ENSG00000053770	Hs.597349
ENSG00000053900	Hs.152173
ENSG00000053900	Hs.619279
ENSG00000054148	
ENSG00000054282	
ENSG00000054796	Hs.159737
ENSG00000054983	Hs.513439
ENSG00000055044	Hs.471104
ENSG00000055070	Hs.252967
ENSG00000055070	Hs.661864
ENSG00000055211	Hs.438872
ENSG00000055950	Hs.421848
ENSG00000055950	Hs.745305
ENSG00000056050	
ENSG00000056972	Hs.561514
ENSG00000057468	Hs.216639
ENSG00000057663	Hs.603246
ENSG00000057663	Hs.486063
ENSG00000057757	Hs.602112
ENSG00000057757	Hs.31819
ENSG00000057757	Hs.706117
ENSG00000058600	Hs.596127
ENSG00000058600	Hs.460298
ENSG00000058673	Hs.546686
ENSG00000058673	Hs.532399
ENSG00000058673	Hs.448347
ENSG00000058729	Hs.602412
ENSG00000058729	Hs.27021
ENSG00000058729	Hs.612232
ENSG00000058804	Hs.476525
ENSG00000058804	Hs.706198
ENSG00000059573	Hs.596764
ENSG00000059573	Hs.500645
ENSG00000059588	Hs.498115
ENSG00000059588	Hs.609704
ENSG00000059691	Hs.636045
ENSG00000060069	Hs.465490
ENSG00000060069	Hs.734021
ENSG00000060642	Hs.600127
ENSG00000060642	Hs.259605
ENSG00000060762	
ENSG00000060971	Hs.643487
ENSG00000061794	Hs.714076
ENSG00000061794	Hs.742125
ENSG00000061936	
ENSG00000061987	Hs.606645
ENSG00000061987	Hs.598869
ENSG00000061987	Hs.389378
ENSG00000061987	Hs.625141
ENSG00000062485	Hs.735445
ENSG00000062485	Hs.743252
ENSG00000062582	Hs.284286
ENSG00000062650	Hs.607158
ENSG00000062650	Hs.599231
ENSG00000062650	Hs.203099
ENSG00000062650	Hs.617822
ENSG00000062716	Hs.597147
ENSG00000062716	Hs.444569
ENSG00000062716	Hs.612262
ENSG00000062716	Hs.734951
ENSG00000062716	Hs.743288
ENSG00000062725	Hs.84084
ENSG00000062822	Hs.279413
ENSG00000063177	
ENSG00000063322	Hs.611541
ENSG00000063322	Hs.669756
ENSG00000063978	Hs.66394
ENSG00000064102	Hs.596685
ENSG00000064102	Hs.505077
ENSG00000064115	Hs.438641
ENSG00000064199	Hs.286233
ENSG00000064201	
ENSG00000064300	Hs.415768
ENSG00000064300	Hs.622362
ENSG00000064313	Hs.604707
ENSG00000064313	Hs.122752
ENSG00000064692	Hs.426463
ENSG00000064692	Hs.740149
ENSG00000064787	Hs.400556
ENSG00000064995	Hs.666624
ENSG00000065000	Hs.599017
ENSG00000065000	Hs.512815
ENSG00000065000	Hs.619533
ENSG00000065057	Hs.66196
ENSG00000065154	Hs.707174
ENSG00000065268	
ENSG00000065328	Hs.198363
ENSG00000065413	Hs.735817
ENSG00000065427	Hs.3100
ENSG00000065518	
ENSG00000065548	
ENSG00000065600	Hs.445386
ENSG00000065600	Hs.614192
ENSG00000066185	Hs.294009
ENSG00000066279	Hs.121028
ENSG00000066279	Hs.625010
ENSG00000066379	
ENSG00000066422	Hs.655286
ENSG00000066455	Hs.104320
ENSG00000066455	Hs.706649
ENSG00000066651	Hs.607514
ENSG00000066651	Hs.404186
ENSG00000066654	Hs.744483
ENSG00000066697	Hs.530272
ENSG00000066827	Hs.446172
ENSG00000066926	Hs.365365
ENSG00000066926	Hs.613777
ENSG00000066926	Hs.710934
ENSG00000067334	Hs.601998
ENSG00000067334	Hs.85769
ENSG00000067365	
ENSG00000067369	Hs.440968
ENSG00000067533	Hs.609251
ENSG00000067533	Hs.615137
ENSG00000067533	Hs.616333
ENSG00000067533	Hs.660109
ENSG00000067704	Hs.262823
ENSG00000067704	Hs.614391
ENSG00000067836	Hs.459795
ENSG00000067955	Hs.605312
ENSG00000067955	Hs.460988
ENSG00000067955	Hs.713012
ENSG00000068097	Hs.594220
ENSG00000068097	Hs.591183
ENSG00000068120	Hs.296422
ENSG00000068308	Hs.496098
ENSG00000068383	Hs.523360
ENSG00000068383	Hs.715308
ENSG00000068394	Hs.503666
ENSG00000068400	Hs.109929
ENSG00000068438	Hs.23170
ENSG00000068489	Hs.631750
ENSG00000068654	Hs.594051
ENSG00000068654	Hs.531818
ENSG00000068654	Hs.745212
ENSG00000068784	Hs.594948
ENSG00000068784	Hs.14229
ENSG00000068878	Hs.605590
ENSG00000068878	Hs.413801
ENSG00000068878	Hs.731764
ENSG00000069248	Hs.12457
ENSG00000069275	Hs.213061
ENSG00000069275	Hs.744865
ENSG00000069329	Hs.595143
ENSG00000069329	Hs.717753
ENSG00000069482	Hs.616268
ENSG00000069712	Hs.21554
ENSG00000069943	Hs.612814
ENSG00000069998	
ENSG00000070010	
ENSG00000070031	Hs.632324
ENSG00000070061	Hs.595702
ENSG00000070061	Hs.494738
ENSG00000070190	Hs.708484
ENSG00000070269	Hs.497253
ENSG00000070269	Hs.658570
ENSG00000070367	Hs.743987
ENSG00000070413	Hs.517357
ENSG00000070444	Hs.619541
ENSG00000070444	Hs.626579
ENSG00000070444	Hs.632239
ENSG00000070610	Hs.594122
ENSG00000070610	Hs.443134
ENSG00000070669	Hs.489207
ENSG00000070761	Hs.532755
ENSG00000070785	Hs.533549
ENSG00000070814	Hs.519672
ENSG00000070950	Hs.375684
ENSG00000070950	Hs.698087
ENSG00000071082	Hs.596434
ENSG00000071082	Hs.620738
ENSG00000071082	Hs.638676
ENSG00000071082	Hs.691317
ENSG00000071127	Hs.128548
ENSG00000071462	Hs.604714
ENSG00000071462	Hs.729489
ENSG00000071539	Hs.436187
ENSG00000071539	Hs.734471
ENSG00000071677	Hs.247710
ENSG00000071794	Hs.594973
ENSG00000071794	Hs.3068
ENSG00000071794	Hs.708498
ENSG00000071894	Hs.493202
ENSG00000072080	Hs.444488
ENSG00000072121	Hs.98041
ENSG00000072121	Hs.630977
ENSG00000072571	Hs.740467
ENSG00000072609	Hs.560002
ENSG00000072609	Hs.619296
ENSG00000072609	Hs.720197
ENSG00000072756	Hs.567495
ENSG00000072756	Hs.732725
ENSG00000072756	Hs.732860
ENSG00000072840	Hs.646899
ENSG00000073169	Hs.365405
ENSG00000073578	Hs.607328
ENSG00000073578	Hs.440475
ENSG00000073584	Hs.743978
ENSG00000073598	Hs.120369
ENSG00000073605	Hs.306777
ENSG00000073605	Hs.638861
ENSG00000073969	Hs.431279
ENSG00000073969	Hs.646586
ENSG00000074071	
ENSG00000074201	Hs.430733
ENSG00000074201	Hs.656608
ENSG00000074266	Hs.503510
ENSG00000074319	
ENSG00000074356	
ENSG00000074416	Hs.277035
ENSG00000074416	Hs.641697
ENSG00000074582	Hs.471401
ENSG00000074582	Hs.608972
ENSG00000074842	
ENSG00000075089	Hs.115088
ENSG00000075131	
ENSG00000075188	
ENSG00000075218	Hs.607318
ENSG00000075218	Hs.386189
ENSG00000075218	Hs.630739
ENSG00000075234	
ENSG00000075240	Hs.475150
ENSG00000075292	Hs.434401
ENSG00000075292	Hs.688019
ENSG00000075336	Hs.601570
ENSG00000075336	Hs.532835
ENSG00000075399	Hs.164410
